USER_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE,ADDRESS,BIRTHDAY_DATE,SIGN_UP_DATE
1,Shaylah,Kiezler,skiezler0@youtube.com,(169) 5668046,0 Hauk Trail,1950-08-02,2022-08-10 3:08
2,Jodi,Parkyns,jparkyns1@sbwire.com,(583) 9540242,26 Kim Trail,2023-04-29,2023-12-12 10:29
3,Emmalee,Maryman,emaryman2@blogtalkradio.com,(619) 7561422,4603 Elgar Drive,1988-08-24,2023-10-19 10:01
4,Karyl,Purry,kpurry3@fema.gov,(555) 2821170,9 Manley Drive,1972-05-09,2024-06-05 11:15
5,Porter,Isbell,pisbell4@indiegogo.com,(473) 8704049,64698 Birchwood Way,1958-10-11,2024-06-22 20:58
6,Gus,Hurl,ghurl5@360.cn,(195) 9067001,65 Independence Point,1975-12-29,2024-02-25 6:54
7,Winslow,Hebborn,whebborn6@arizona.edu,(511) 5067896,51689 Alpine Pass,1961-08-19,2023-04-24 23:24
8,Lenee,Reder,lreder7@infoseek.co.jp,(750) 6129702,492 Oak Valley Drive,1946-08-20,2022-12-27 3:47
9,Jacquelyn,Ick,jick8@mediafire.com,(715) 5845774,186 Farmco Place,2006-09-17,2024-03-15 17:22
10,Brear,Wattam,bwattam9@elegantthemes.com,(988) 9565294,191 Cambridge Crossing,1924-01-23,2023-02-17 2:01
11,Maud,Offield,moffielda@loc.gov,(838) 6118165,5 Granby Terrace,1923-08-23,2023-03-23 0:28
12,Sebastiano,Casson,scassonb@businessweek.com,(446) 9380818,87 Kennedy Court,1987-03-29,2022-11-21 20:54
13,Rosalie,Iddy,riddyc@simplemachines.org,(998) 9559626,6 Summit Pass,1930-01-07,2022-11-30 14:25
14,Logan,Venables,lvenablesd@de.vu,(967) 3849710,7530 Lillian Hill,1972-10-23,2023-10-09 15:23
15,Berthe,Beathem,bbeatheme@deviantart.com,(266) 9794635,8559 Sullivan Point,1953-09-09,2023-11-28 17:11
16,Aggi,Hayzer,ahayzerf@webs.com,(168) 8093471,5 Kennedy Way,1957-07-11,2024-01-12 3:11
